gene,protein,reaction,model
G_ABAYE_RS05595,P_ABAYE_RS05595,R_ALDD2x,iCN718
G_ABAYE_RS07685,P_ABAYE_RS07685,R_ALDD2x,iCN718
G_ABAYE_RS11785,P_ABAYE_RS11785,R_ALDD2x,iCN718
G_ABAYE_RS14150,P_ABAYE_RS14150,R_ALDD2x,iCN718
G_ABAYE_RS16330,P_ABAYE_RS16330,R_PPAKr,iCN718
G_ABAYE_RS08035,P_ABAYE_RS08035,R_ACCOAC,iCN718
G_ABAYE_RS03615,P_ABAYE_RS03615+ABAYE_RS08035,R_ACCOAC,iCN718
G_ABAYE_RS08035,P_ABAYE_RS03615+ABAYE_RS08035,R_ACCOAC,iCN718
G_ABAYE_RS03615,P_ABAYE_RS03615+ABAYE_RS11585,R_ACCOAC,iCN718
G_ABAYE_RS11585,P_ABAYE_RS03615+ABAYE_RS11585,R_ACCOAC,iCN718
G_ABAYE_RS03615,P_ABAYE_RS03615+ABAYE_RS12285,R_ACCOAC,iCN718
G_ABAYE_RS12285,P_ABAYE_RS03615+ABAYE_RS12285,R_ACCOAC,iCN718
G_ABAYE_RS08035,P_ABAYE_RS08035+ABAYE_RS08040,R_ACCOAC,iCN718
G_ABAYE_RS08040,P_ABAYE_RS08035+ABAYE_RS08040,R_ACCOAC,iCN718
G_ABAYE_RS08035,P_ABAYE_RS08035+ABAYE_RS11585,R_ACCOAC,iCN718
G_ABAYE_RS11585,P_ABAYE_RS08035+ABAYE_RS11585,R_ACCOAC,iCN718
G_ABAYE_RS08035,P_ABAYE_RS08035+ABAYE_RS12285,R_ACCOAC,iCN718
G_ABAYE_RS12285,P_ABAYE_RS08035+ABAYE_RS12285,R_ACCOAC,iCN718
G_ABAYE_RS08035,P_ABAYE_RS08035+ABAYE_RS15725,R_ACCOAC,iCN718
G_ABAYE_RS15725,P_ABAYE_RS08035+ABAYE_RS15725,R_ACCOAC,iCN718
G_ABAYE_RS08040,P_ABAYE_RS08040+ABAYE_RS11585,R_ACCOAC,iCN718
G_ABAYE_RS11585,P_ABAYE_RS08040+ABAYE_RS11585,R_ACCOAC,iCN718
G_ABAYE_RS08040,P_ABAYE_RS08040+ABAYE_RS12285,R_ACCOAC,iCN718
G_ABAYE_RS12285,P_ABAYE_RS08040+ABAYE_RS12285,R_ACCOAC,iCN718
G_ABAYE_RS11585,P_ABAYE_RS11585+ABAYE_RS15725,R_ACCOAC,iCN718
G_ABAYE_RS15725,P_ABAYE_RS11585+ABAYE_RS15725,R_ACCOAC,iCN718
G_ABAYE_RS12285,P_ABAYE_RS12285+ABAYE_RS15725,R_ACCOAC,iCN718
G_ABAYE_RS15725,P_ABAYE_RS12285+ABAYE_RS15725,R_ACCOAC,iCN718
G_ABAYE_RS04365,P_ABAYE_RS04365,R_ALCD2x,iCN718
G_ABAYE_RS07700,P_ABAYE_RS07700,R_ALCD2x,iCN718
G_ABAYE_RS07975,P_ABAYE_RS07975,R_ALCD2x,iCN718
G_ABAYE_RS09595,P_ABAYE_RS09595,R_ALCD2x,iCN718
G_p2ABAYE0004,P_p2ABAYE0004,R_ALCD2x,iCN718
G_p3ABAYE0020,P_p3ABAYE0020,R_ALCD2x,iCN718
G_p3ABAYE0024,P_p3ABAYE0024,R_ALCD2x,iCN718
